epoch, reward
0,0.30000000000000004
1,0.30000000000000004
2,0.30000000000000004
3,0.30000000000000004
4,0.30000000000000004
5,0.2733333333333333
6,0.30000000000000004
7,0.2733333333333333
8,0.30000000000000004
9,0.30000000000000004
10,0.30000000000000004
11,0.30000000000000004
12,0.2833333333333333
13,0.3133333333333334
14,0.31333333333333335
15,0.35333333333333344
16,0.3533333333333335
17,0.3933333333333335
18,0.38666666666666677
19,0.40000000000000013
20,0.41333333333333344
21,0.4366666666666667
22,0.4800000000000001
23,0.4400000000000001
24,0.5466666666666667
25,0.5400000000000001
26,0.47333333333333344
27,0.48666666666666675
28,0.5533333333333333
29,0.6466666666666666
30,0.6
31,0.62
32,0.5800000000000001
33,0.6866666666666664
34,0.6
35,0.5800000000000001
36,0.63
37,0.64
38,0.5600000000000002
39,0.64
40,0.6599999999999999
