epoch,average_reward
0,0.4688888888888887
1,0.4074074074074074
2,0.16148148148148145
3,0.24305555555555555
4,0.29990740740740734
5,0.3151851851851851
6,0.1582407407407407
7,0.24629629629629632
8,0.1922222222222222
9,0.30037037037037034
